1,Human,0.546103,13.9482,0.00931727,1.00403,59.6862,0.69,0.19,0.08,0.02,0,0.01,0,0,0,0.01,0.08,0.13,0.08,0.19,0.08,0.11,0.11,0.05,0.03,0.14,0.11,0.17,0.16,0.16,0.08,0.06,0.1,0.08,0.03,0.05,0.06,0.15,0.18,0.08,0.2,0.06,0.1,0.09,0.05,0.03,0.04,0.04,0.15,0.14,0.11,0.01,0.09,0.2,0.13,0.09,
2,Human,0.620546,8.8339,0.0133338,1.00919,36.8862,0.6,0.14,0.14,0.04,0.03,0,0.02,0.01,0.01,0.01,0.19,0.13,0.08,0.14,0.13,0.09,0.07,0.06,0.03,0.08,0.11,0.18,0.24,0.18,0.07,0.06,0.06,0.05,0.02,0.03,0.03,0.09,0.08,0.17,0.33,0.12,0.08,0.04,0.02,0.04,0.07,0.15,0.18,0.14,0,0.02,0.1,0.09,0.15,0.1,
3,Human,0.59499,10.8743,0.0113062,1.01729,15.0184,0.77,0.18,0.03,0.01,0,0,0,0,0,0.01,0.08,0.14,0.14,0.25,0.27,0.02,0.02,0.04,0.01,0.03,0.11,0.12,0.2,0.13,0.18,0.06,0.03,0.05,0.03,0.09,0.07,0.07,0.14,0.13,0.14,0.11,0.12,0.1,0.05,0.07,0.05,0.09,0.17,0.25,0.05,0.05,0.16,0.08,0.07,0.03,
4,Human,0.630736,10.9428,0.0119947,1.04094,17.1346,0.69,0.11,0.06,0.05,0.03,0.03,0.01,0,0.01,0.01,0.09,0.21,0.28,0.22,0.11,0.01,0.01,0.02,0,0.05,0.05,0.13,0.22,0.18,0.16,0.08,0.06,0.07,0.03,0.02,0.09,0.11,0.15,0.19,0.12,0.13,0.1,0.05,0.04,0.02,0.02,0.16,0.17,0.17,0.06,0.03,0.13,0.09,0.13,0.04,
5,Human,0.695265,7.87536,0.016318,1.00529,31.7815,0.69,0.17,0.06,0.02,0.03,0,0.01,0,0.01,0.01,0.14,0.11,0.06,0.18,0.09,0.11,0.09,0.05,0.1,0.07,0.08,0.2,0.17,0.18,0.15,0.07,0.08,0.03,0.03,0.01,0.01,0.08,0.12,0.25,0.23,0.17,0.07,0.02,0.04,0.01,0.04,0.13,0.19,0.07,0.01,0.05,0.11,0.23,0.13,0.04,
6,Human,0.655112,10.6533,0.0143528,1.0102,37.6357,0.88,0.09,0,0.02,0,0,0,0,0,0.01,0.12,0.12,0.27,0.09,0.1,0.07,0.07,0.03,0.05,0.08,0.14,0.17,0.18,0.13,0.1,0.11,0.04,0.05,0.04,0.04,0.04,0.04,0.1,0.14,0.2,0.13,0.18,0.08,0.05,0.04,0.06,0.09,0.18,0.17,0.01,0.02,0.08,0.19,0.14,0.06,
7,Human,0.604194,9.65704,0.0133433,1.00481,38.1339,0.74,0.15,0.06,0.02,0.01,0,0,0,0,0.02,0.14,0.14,0.19,0.12,0.06,0.06,0.06,0.12,0.03,0.08,0.09,0.18,0.27,0.14,0.1,0.04,0.07,0.05,0.01,0.05,0.07,0.14,0.22,0.19,0.13,0.09,0.05,0.05,0.03,0.03,0.02,0.16,0.22,0.1,0.01,0.02,0.14,0.2,0.11,0.02,
8,Human,0.488594,13.0034,0.00777846,1.00221,29.4274,0.68,0.21,0.04,0.02,0.02,0.02,0,0,0,0.01,0.16,0.11,0.15,0.1,0.14,0.13,0.05,0.09,0.04,0.03,0.08,0.17,0.16,0.1,0.13,0.14,0.1,0.01,0.07,0.04,0.11,0.12,0.2,0.17,0.15,0.14,0.03,0.03,0.04,0.01,0.1,0.09,0.13,0.09,0,0.07,0.2,0.19,0.11,0.02,
9,Human,0.475305,12.3235,0.00771288,1.00324,29.3102,0.92,0.06,0.01,0,0,0,0,0,0,0.01,0.08,0.16,0.15,0.2,0.15,0.09,0.06,0.05,0.02,0.04,0.05,0.21,0.17,0.18,0.05,0.13,0.03,0.1,0.07,0.01,0.11,0.15,0.15,0.22,0.13,0.12,0.08,0.03,0,0.01,0.04,0.11,0.22,0.17,0.06,0.02,0.1,0.16,0.07,0.05,
10,Human,0.541653,12.0054,0.00934541,1.00855,62.2413,0.82,0.12,0.04,0,0,0.01,0,0,0,0.01,0.06,0.12,0.05,0.13,0.18,0.06,0.05,0.07,0.11,0.17,0.15,0.16,0.11,0.18,0.1,0.1,0.06,0.05,0.06,0.03,0.06,0.17,0.23,0.15,0.09,0.1,0.11,0.03,0.03,0.03,0.06,0.14,0.16,0.15,0.05,0.01,0.1,0.17,0.09,0.07,
11,Human,0.695665,9.84308,0.0123972,1.0054,40.5796,0.64,0.2,0.05,0.07,0.02,0,0,0.01,0,0.01,0.19,0.09,0.07,0.06,0.13,0.15,0.09,0.1,0.06,0.06,0.07,0.16,0.15,0.2,0.14,0.06,0.08,0.06,0.07,0.01,0.01,0.07,0.18,0.16,0.2,0.15,0.08,0.09,0.05,0.01,0.07,0.14,0.22,0.13,0,0.05,0.16,0.14,0.07,0.02,
12,Human,0.663335,8.62565,0.0124711,1.00623,39.8665,0.68,0.08,0.1,0.03,0.04,0.03,0.01,0,0.02,0.01,0.1,0.11,0.11,0.12,0.08,0.13,0.11,0.08,0.06,0.1,0.1,0.12,0.16,0.17,0.14,0.12,0.03,0.06,0.04,0.06,0.09,0.13,0.2,0.22,0.16,0.08,0.03,0.02,0.05,0.02,0.12,0.12,0.2,0.11,0,0.01,0.12,0.16,0.11,0.05,
13,Human,0.722119,6.35286,0.0198908,1.00697,23.8986,0.68,0,0.17,0.02,0.05,0.03,0.01,0.01,0.02,0.01,0.19,0.09,0.13,0.2,0.1,0.06,0.02,0.03,0.01,0.17,0.06,0.19,0.18,0.14,0.14,0.12,0.03,0.09,0.04,0.01,0.04,0.06,0.2,0.21,0.09,0.16,0.12,0.06,0.04,0.02,0.05,0.11,0.23,0.1,0.08,0.01,0.06,0.12,0.16,0.08,
