ап1.1,before vertices,before bb size,before bb position,before posture,after vertices,after bb size,after bb position,after posture,ап1.10
1.off: Human,4706,1.96002,0.0820978,0.999997,4706,1.09053,0.0429849,1, 
2.off: Human,10050,2.17111,0.0443807,0.997388,10050,1.15985,0.0258312,1, 
3.off: Human,5641,1.73685,0.206711,0.722736,5641,1.1575,0.130898,1, 
4.off: Human,5676,1.72815,0.226847,0.800765,5676,1.18711,0.145013,1, 
5.off: Human,15154,2.30416,0.0731986,0.789167,15154,1.19041,0.031257,1, 
6.off: Human,10098,1.86091,0.118259,0.999993,10098,1.0643,0.0669888,1, 
7.off: Human,8441,1.97651,0.0587543,0.999793,8441,1.06501,0.0315381,1, 
8.off: Human,11015,2.09256,0.0750906,0.820522,11015,1.14492,0.0423376,1, 
9.off: Human,2639,2.0684,0.0784128,0.833482,2639,1.13802,0.04375,1, 
10.off: Human,9508,2.19301,0.0397294,0.999495,9508,1.15763,0.0230904,1, 
11.off: Human,10999,2.52665,0.0572822,0.999994,10999,1.40276,0.0252886,1, 
12.off: Human,5614,2.52149,0.0576156,0.999996,5614,1.38699,0.0257977,1, 
13.off: Human,13703,2.24932,0.120022,0.764798,13703,1.15094,0.0185842,1, 
14.off: Human,5691,1.88927,0.32078,0.508851,5691,1.47927,0.177026,1, 
15.off: Human,5631,1.7473,0.174023,0.962629,5631,1.14777,0.126207,1, 
16.off: Human,15223,2.10971,0.129993,0.254634,15223,1.09526,0.0205778,1, 
17.off: Human,15910,2.14019,0.067302,0.829527,15910,1.19833,0.0567503,1, 
18.off: Human,15385,2.2189,0.109043,0.30739,15385,1.15542,0.0304115,1, 
19.off: Human,15477,2.27765,0.058875,0.781322,15477,1.16283,0.0165061,1, 
20.off: Human,15700,2.20611,0.0405796,0.791965,15700,1.16795,0.0186986,1, 
21.off: Cup,15198,2.33992,0.128917,0.994843,15198,1.4299,0.0866256,1, 
22.off: Cup,15002,2.59228,0.0815155,0.999153,15002,1.47909,0.048618,1, 
23.off: Cup,15037,2.50016,0.119772,0.999471,15037,1.41809,0.0690603,1, 
24.off: Cup,15246,2.63046,0.0625811,0.999813,15246,1.47914,0.034874,1, 
25.off: Cup,15087,2.3637,0.0325716,0.999755,15087,1.38559,0.0205209,1, 
26.off: Cup,15209,2.39166,0.137424,0.946755,15209,1.47423,0.0248986,1, 
27.off: Cup,15137,2.31326,0.112599,0.908609,15137,1.48989,0.0624079,1, 
28.off: Cup,15070,2.37146,0.120426,0.995578,15070,1.43616,0.0803004,1, 
29.off: Cup,15127,2.25471,0.155974,0.854758,15127,1.524,0.0175979,1, 
30.off: Cup,15006,2.11565,0.205057,0.994501,15006,1.46211,0.15213,1, 
31.off: Cup,15227,2.68442,0.141608,0.811789,15227,1.56875,0.0398145,1, 
32.off: Cup,14751,2.25472,0.122996,0.857621,14751,1.46427,0.0742236,1, 
33.off: Cup,7349,2.5203,0.116276,0.999901,7349,1.51836,0.0701335,1, 
34.off: Cup,9602,2.54592,0.0866092,0.999889,9602,1.58492,0.0314397,1, 
35.off: Cup,15136,2.0655,0.114188,0.999584,15136,1.34609,0.0743222,1, 
36.off: Cup,9076,2.53914,0.0895873,0.954682,9076,1.56353,0.0331252,1, 
37.off: Cup,6270,2.57038,0.138712,0.999252,6270,1.50005,0.0751951,1, 
38.off: Cup,15064,2.47662,0.0584249,0.992259,15064,1.45439,0.0312088,1, 
39.off: Cup,15161,2.3832,0.097886,0.822874,15161,1.50161,0.0748724,1, 
40.off: Cup,15165,2.35122,0.00222424,0.862129,15165,1.28795,0.0012044,1, 
41.off: Glass,7016,1.52638,0.324836,0.999959,7016,1.40509,0.298214,1, 
42.off: Glass,4164,1.57411,0.357024,0.995633,4164,1.26485,0.28238,1, 
43.off: Glass,3414,1.57687,0.316755,0.98927,3414,1.24761,0.265711,1, 
44.off: Glass,6288,1.64087,0.315847,0.999532,6288,1.35147,0.258855,1, 
45.off: Glass,5399,1.67806,0.353711,0.999986,5399,1.35962,0.286857,1, 
46.off: Glass,2394,1.93222,0.198005,0.981235,2394,1.04027,0.0390568,1, 
47.off: Glass,2028,2.00945,0.028947,0.999762,2028,1.01205,0.00955599,1, 
48.off: Glass,5176,1.68281,0.321821,0.997319,5176,1.26714,0.240303,1, 
49.off: Glass,3110,1.8608,0.171374,0.999541,3110,1.1029,0.0973483,1, 
50.off: Glass,7420,1.55055,0.314139,0.999991,7420,1.41372,0.284647,1, 
51.off: Glass,2858,1.77908,0.234927,0.999913,2858,1.14613,0.146605,1, 
52.off: Glass,3586,1.95227,0.136191,0.998851,3586,1.03497,0.0602172,1, 
53.off: Glass,2496,1.90522,0.225696,0.98347,2496,1.06086,0.06415,1, 
54.off: Glass,7407,1.54962,0.314195,0.999934,7407,1.40953,0.283915,1, 
55.off: Glass,2850,1.74497,0.247474,0.999972,2850,1.15268,0.160664,1, 
56.off: Glass,8771,1.86673,0.351821,0.999691,8771,1.44432,0.259174,1, 
57.off: Glass,7413,1.54897,0.314137,0.999994,7413,1.41252,0.284963,1, 
58.off: Glass,1857,1.9725,0.0592118,0.999792,1857,1.01683,0.014788,1, 
59.off: Glass,2895,1.91244,0.150259,0.999777,2895,1.0832,0.0795138,1, 
60.off: Glass,2375,1.92,0.207743,0.980468,2375,1.04793,0.0502663,1, 
61.off: Airplane,5400,2.26494,0.0791059,0.99595,5400,1.15427,0.0383419,1, 
62.off: Airplane,5619,2.55369,0.0768722,0.999998,5619,1.30988,0.0144451,1, 
63.off: Airplane,5519,2.65015,0.0770132,1,5519,1.33156,0.0125787,1, 
64.off: Airplane,6797,2.44877,0.127779,0.999999,6797,1.31877,0.0537635,1, 
65.off: Airplane,6448,2.44426,0.156055,0.999692,6448,1.41633,0.0898041,1, 
66.off: Airplane,7739,2.26184,0.16577,0.999219,7739,1.33895,0.0941611,1, 
67.off: Airplane,7651,2.44643,0.170701,0.999013,7651,1.37568,0.0848062,1, 
68.off: Airplane,5583,2.29889,0.177247,0.991529,5583,1.3003,0.0959488,1, 
69.off: Airplane,6701,2.40108,0.120629,0.996244,6701,1.26054,0.0557929,1, 
70.off: Airplane,5631,2.35099,0.0512316,0.998933,5631,1.18632,0.0359404,1, 
71.off: Airplane,5849,2.5881,0.100383,0.996358,5849,1.30441,0.0397452,1, 
72.off: Airplane,5228,2.48117,0.122889,0.998861,5228,1.2521,0.0559711,1, 
73.off: Airplane,5109,2.54574,0.128852,0.99832,5109,1.30012,0.0601852,1, 
74.off: Airplane,5044,2.4179,0.105803,0.996764,5044,1.23423,0.0463549,1, 
75.off: Airplane,8679,2.43683,0.125722,0.998885,8679,1.39992,0.0738174,1, 
76.off: Airplane,5923,2.39687,0.129999,0.997719,5923,1.30486,0.0553186,1, 
77.off: Airplane,6587,2.53966,0.15507,0.999998,6587,1.41668,0.0730461,1, 
78.off: Airplane,7470,2.6386,0.199857,0.994346,7470,1.4167,0.084429,1, 
79.off: Airplane,6689,2.57285,0.211459,0.874516,6689,1.37986,0.100357,1, 
80.off: Airplane,7351,2.5265,0.210343,0.920173,7351,1.37853,0.0849103,1, 
81.off: Ant,6370,2.16059,0.142647,0.957546,6370,1.21063,0.0647029,1, 
82.off: Ant,8299,2.31265,0.117652,0.999633,8299,1.26469,0.0916402,1, 
83.off: Ant,6376,2.25503,0.0627744,0.998957,6376,1.20369,0.0548207,1, 
84.off: Ant,6850,2.17098,0.0542267,0.998917,6850,1.26006,0.0858489,1, 
85.off: Ant,8388,2.15102,0.146208,0.964357,8388,1.24914,0.0609451,1, 
86.off: Ant,7038,2.10811,0.0645799,0.995436,7038,1.162,0.0582293,1, 
87.off: Ant,7470,2.37085,0.136971,0.986478,7470,1.32559,0.0703163,1, 
88.off: Ant,8210,2.57718,0.148502,0.992386,8210,1.41586,0.068175,1, 
89.off: Ant,7654,2.17529,0.115146,0.999321,7654,1.19535,0.035942,1, 
90.off: Ant,7877,2.28614,0.0592265,0.999649,7877,1.26611,0.0426428,1, 
91.off: Ant,8640,2.30395,0.0957149,0.998928,8640,1.30235,0.0595909,1, 
92.off: Ant,5867,2.21207,0.0555369,0.999205,5867,1.16476,0.0384155,1, 
93.off: Ant,8216,2.5035,0.138274,0.999986,8216,1.34127,0.0405154,1, 
94.off: Ant,7236,2.36418,0.076789,0.877313,7236,1.36456,0.0493664,1, 
95.off: Ant,7355,2.18812,0.102165,0.975878,7355,1.23137,0.0484246,1, 
96.off: Ant,8504,2.3089,0.140656,0.816438,8504,1.31178,0.0652965,1, 
97.off: Ant,8167,2.04909,0.0467334,0.994884,8167,1.21809,0.0227677,1, 
98.off: Ant,6154,2.2264,0.0369511,0.992478,6154,1.16714,0.0639559,1, 
99.off: Ant,6881,2.29047,0.121945,0.99907,6881,1.29186,0.0513477,1, 
100.off: Ant,8064,2.13232,0.0289762,0.994424,8064,1.23116,0.028476,1, 
101.off: Chair,8499,1.9862,0.0932465,0.452945,8499,1.21288,0.07268,1, 
102.off: Chair,15724,2.33566,0.0607569,0.85684,15724,1.2996,0.0767775,1, 
103.off: Chair,9652,2.05184,0.0734961,0.452447,9652,1.25855,0.0577997,1, 
104.off: Chair,8653,1.95683,0.0636698,0.993679,8653,1.19482,0.0389479,1, 
105.off: Chair,9261,1.90104,0.088351,0.990335,9261,1.20343,0.0490342,1, 
106.off: Chair,14052,2.09353,0.122417,0.688682,14052,1.38773,0.117767,1, 
107.off: Chair,11421,2.35256,0.0803873,0.671353,11421,1.24246,0.0161171,1, 
108.off: Chair,10500,2.36649,0.0675727,0.758325,10500,1.24257,0.0150906,1, 
109.off: Chair,10301,1.85253,0.0984019,0.999984,10301,1.32351,0.148931,1, 
110.off: Chair,8456,1.91859,0.0777958,0.999621,8456,1.1668,0.0529207,1, 
111.off: Chair,8050,1.95004,0.0624141,0.99959,8050,1.16671,0.0465427,1, 
112.off: Chair,13628,1.90967,0.083524,0.999985,13628,1.31556,0.123397,1, 
113.off: Chair,10748,1.92329,0.131603,0.881336,10748,1.277,0.101356,1, 
114.off: Chair,5794,1.70021,0.16336,0.999915,5794,1.2203,0.127629,1, 
115.off: Chair,10043,1.95717,0.115555,0.894135,10043,1.27395,0.0910844,1, 
116.off: Chair,13463,2.17601,0.0880726,0.999847,13463,1.29083,0.04645,1, 
117.off: Chair,14372,2.09181,0.0914553,0.999956,14372,1.28927,0.0414576,1, 
118.off: Chair,9153,1.97774,0.077223,0.441305,9153,1.21337,0.0664194,1, 
119.off: Chair,12326,2.06501,0.104209,0.994568,12326,1.31738,0.0618249,1, 
120.off: Chair,10121,2.0105,0.0964028,0.999916,10121,1.18396,0.0371582,1, 
121.off: Octopus,5944,2.52558,0.133497,0.972149,5944,1.2388,0.0656977,1, 
122.off: Octopus,7251,2.47637,0.0996495,0.998852,7251,1.34996,0.0544426,1, 
123.off: Octopus,15493,2.17682,0.0826935,0.936157,15493,1.59846,0.0904446,1, 
124.off: Octopus,3101,2.40443,0.117365,0.91932,3101,1.31598,0.0666074,1, 
125.off: Octopus,5556,1.67636,0.192998,0.879949,5556,1.55059,0.133646,1, 
126.off: Octopus,6325,2.5649,0.11248,0.980057,6325,1.41942,0.0201885,1, 
127.off: Octopus,11906,2.43941,0.0311257,0.782484,11906,1.48566,0.0997465,1, 
128.off: Octopus,6164,2.2367,0.0624929,0.939145,6164,1.27911,0.0647491,1, 
129.off: Octopus,6144,2.54187,0.108672,0.925841,6144,1.39013,0.0339717,1, 
130.off: Octopus,7747,2.35893,0.111141,0.92333,7747,1.44871,0.0370932,1, 
131.off: Octopus,11051,2.34602,0.100091,0.980151,11051,1.60655,0.0460043,1, 
132.off: Octopus,7812,2.072,0.0141959,0.988294,7812,1.07723,0.00783414,1, 
133.off: Octopus,10466,2.28538,0.192502,0.894886,10466,1.3826,0.0736287,1, 
134.off: Octopus,10932,2.37842,0.0454522,0.988321,10932,1.39755,0.0159721,1, 
135.off: Octopus,15201,2.20484,0.0479994,0.993336,15201,1.52715,0.0288695,1, 
136.off: Octopus,14126,2.17141,0.0350349,0.746293,14126,1.40046,0.0361812,1, 
137.off: Octopus,9124,2.00636,0.0955711,0.895032,9124,1.50046,0.143592,1, 
138.off: Octopus,9594,2.20712,0.171258,0.999063,9594,1.40884,0.0630574,1, 
139.off: Octopus,8017,2.16086,0.0353713,0.906482,8017,1.39518,0.072751,1, 
140.off: Octopus,9200,2.41151,0.126247,0.823992,9200,1.43865,0.0197479,1, 
141.off: Table,13926,2.18018,0.303073,0.999998,13926,1.30958,0.175205,1, 
142.off: Table,9802,2.24453,0.112101,1,9802,1.13222,0.0564521,1, 
143.off: Table,9270,2.24342,0.121737,1,9270,1.13221,0.0611998,1, 
144.off: Table,15082,2.59395,0.175835,0.999989,15082,1.30882,0.0885126,1, 
145.off: Table,13206,2.04665,0.299789,0.997692,13206,1.61148,0.232987,1, 
146.off: Table,13714,2.25532,0.264434,0.981166,13714,1.56951,0.182672,1, 
147.off: Table,13705,2.40517,0.244978,0.999951,13705,1.4856,0.149879,1, 
148.off: Table,13375,2.84807,0.183556,0.813894,13375,1.44601,0.0919788,1, 
149.off: Table,13588,2.84411,0.217019,0.996579,13588,1.44599,0.109324,1, 
150.off: Table,13579,1.74007,0.363042,0.999934,13579,1.52325,0.313801,1, 
151.off: Table,12696,1.98366,0.19721,0.999908,12696,1.48052,0.145732,1, 
152.off: Table,10543,1.90508,0.254829,0.999325,10543,1.16193,0.154291,1, 
153.off: Table,13581,2.07293,0.208429,0.999995,13581,1.29315,0.128931,1, 
154.off: Table,13929,2.40184,0.181711,0.973849,13929,1.47564,0.130558,1, 
