Category,A,B,C,D,E,F,F.1,F.2,F.3,F.4,F.5,F.6,F.7,F.8,F.9,G,G.1,G.2,G.3,G.4,G.5,G.6,G.7,G.8,G.9,H,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,I,I.1,I.2,I.3,I.4,I.5,I.6,I.7,I.8,I.9,J,J.1,J.2,J.3,J.4,J.5,J.6,J.7,J.8,J.9,Selected,No,t-SNE-x,t-SNE-y
Airplane Ant Armadillo Bearing Bird Bust Chair Cup Fish Fourleg Glass Hand Human Mech Octopus Plier Table Teddy Vase,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,No Yes,string,continuous,continuous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,class,meta,meta,meta
Human,-0.760718664,0.034446998,-0.59818905,-0.678631909,2.05323561,0.966667,0.025,0.00466667,0.00133333,0.000666667,0.001,0.0,0.0,0.000333333,0.000333333,0.054,0.117333,0.098,0.213,0.129,0.106,0.076,0.0776667,0.0346667,0.0943333,0.085,0.185667,0.190667,0.147667,0.11,0.107667,0.0686667,0.0523333,0.034,0.0183333,0.0356667,0.101,0.175333,0.212667,0.183333,0.132667,0.0923333,0.0446667,0.018,0.00433333,0.0143333,0.108,0.206,0.136333,0.0233333,0.065,0.212,0.177,0.054,0.004,No,1,4.978431421108411,4.531858780628025
Human,-0.673600227,-0.309517255,-0.526651663,-0.612713002,0.949340906,0.976667,0.0196667,0.00133333,0.001,0.000666667,0.0,0.0,0.0,0.000333333,0.000333333,0.09,0.139333,0.116,0.176667,0.147667,0.0996667,0.0503333,0.0546667,0.056,0.0696667,0.073,0.183667,0.215333,0.180333,0.129333,0.0873333,0.0613333,0.0426667,0.0186667,0.00833333,0.029,0.0996667,0.200667,0.222,0.187333,0.128,0.085,0.0343333,0.00966667,0.00433333,0.009,0.0836667,0.196333,0.153667,0.036,0.0313333,0.156667,0.209667,0.106333,0.0173333,No,2,3.99664824658598,3.2457467774955595
Human,-0.703507657,-0.172289353,-0.562764728,-0.509235648,-0.109419999,0.987,0.00866667,0.00166667,0.000666667,0.000333333,0.001,0.000333333,0.0,0.0,0.000333333,0.052,0.148333,0.227667,0.243667,0.191,0.0356667,0.0246667,0.0176667,0.0226667,0.0366667,0.108,0.162333,0.200333,0.171333,0.146333,0.085,0.0483333,0.038,0.0233333,0.017,0.038,0.111333,0.167333,0.193333,0.175333,0.132667,0.0923333,0.0533333,0.0306667,0.00566667,0.0163333,0.07,0.199667,0.210333,0.0363333,0.161,0.206333,0.0823333,0.0156667,0.002,No,3,6.505377343917213,4.399229759035023
Human,-0.661675172,-0.167682358,-0.55050203,-0.207107326,-0.006961141,0.972667,0.0196667,0.00466667,0.00133333,0.000666667,0.000333333,0.0,0.0,0.000333333,0.000333333,0.079,0.163,0.282667,0.218667,0.109333,0.0376667,0.0326667,0.028,0.0233333,0.0256667,0.118,0.164333,0.226333,0.179333,0.117667,0.0656667,0.056,0.0413333,0.0223333,0.009,0.0693333,0.211667,0.251,0.208333,0.142333,0.0773333,0.0276667,0.00933333,0.00233333,0.000666667,0.0113333,0.0503333,0.146667,0.193667,0.0866667,0.0646667,0.213667,0.165333,0.056,0.0116667,No,4,9.977681043394826,-0.026796067845361433
Human,-0.586158796,-0.373984239,-0.473500841,-0.662535432,0.702189533,0.999333,0.000333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.0923333,0.146667,0.092,0.14,0.185333,0.0896667,0.0663333,0.066,0.0666667,0.055,0.0506667,0.159333,0.209333,0.2,0.151,0.108,0.0563333,0.0336667,0.0186667,0.013,0.032,0.109,0.210333,0.218667,0.199667,0.117,0.074,0.0266667,0.011,0.00166667,0.006,0.074,0.184,0.191667,0.0493333,0.0196667,0.151,0.214,0.0976667,0.0126667,No,5,3.8343934695463364,2.402320082649566
Human,-0.633148662,-0.187152794,-0.508502515,-0.59981027,0.985629023,0.973,0.0186667,0.00433333,0.00133333,0.000666667,0.00166667,0.0,0.0,0.0,0.000333333,0.0503333,0.173667,0.201333,0.119,0.112333,0.101667,0.0846667,0.056,0.034,0.067,0.0753333,0.214333,0.214667,0.146,0.125667,0.0783333,0.051,0.046,0.028,0.0206667,0.00966667,0.0633333,0.121,0.177,0.173667,0.181333,0.124,0.086,0.051,0.013,0.0183333,0.110333,0.203,0.151,0.0313333,0.05,0.173667,0.181333,0.0726667,0.00833333,No,6,0.4529302432989472,7.71345482415672
Human,-0.692736488,-0.254156651,-0.526482461,-0.668667423,1.009750091,0.982333,0.0126667,0.002,0.00133333,0.000666667,0.0,0.000333333,0.000333333,0.0,0.000333333,0.0436667,0.196,0.205,0.127333,0.101333,0.07,0.0756667,0.071,0.0586667,0.0513333,0.0883333,0.223667,0.229,0.151333,0.109667,0.0866667,0.047,0.0396667,0.0163333,0.00833333,0.018,0.0843333,0.156333,0.198667,0.207333,0.171,0.0893333,0.05,0.0203333,0.00466667,0.0226667,0.111667,0.207,0.139333,0.0223333,0.039,0.155333,0.196667,0.0943333,0.0116667,No,7,1.1511924399661801,7.7638844749381475
Human,-0.828019742,-0.029095897,-0.625596401,-0.701882376,0.588212404,0.993667,0.00366667,0.00133333,0.001,0.0,0.0,0.0,0.0,0.0,0.000333333,0.092,0.125,0.113667,0.171333,0.159333,0.107,0.075,0.068,0.0516667,0.037,0.0943333,0.205667,0.205,0.163667,0.115667,0.0956667,0.0636667,0.0323333,0.0166667,0.00733333,0.0243333,0.111333,0.207,0.230333,0.188333,0.132333,0.0663333,0.0246667,0.0136667,0.00166667,0.00266667,0.037,0.142667,0.219667,0.092,0.0266667,0.174,0.209333,0.08,0.016,No,8,4.741741413032889,2.1017151075763634
